Tank,ColorID,ID,Temp,Treatment,Trial,Trial_date,Length,Weight,Notes,Ethovision_trial,DistMove,TimeMove,TimeNotMove,FreqArena,TimeArena,FreqPartial,TimePartial
C_14_3,Yellow,C_14_3_Yellow,14,control,Post1,12/03/2024,10,11.2,,68,3563.04,281.281,222.722,23,508.841,46,171.004
C_14_3,Yellow,C_14_3_Yellow,14,control,Post2,15/03/2024,10,11.2,,16,1919.42,236.736,268.601,14,509.342,39,230.397
C_14_3,Yellow,C_14_3_Yellow,14,control,Post3,18/03/2024,10,11.2,,17,1062.61,169.503,430.596,1,600.266,1,7.84116
C_14_3,Yellow,C_14_3_Yellow,14,control,Post4,21/03/2024,10,11.2,,12,2274.7561,111.66833,180.447,1,282.282,1,34.034
C_14_4,Blue,C_14_4_Blue,14,control,Pre1,16/02/2024,8.2,5.9,,15,4649.52,472.305,15.6823,19,491.324,41,56.5565
C_14_4,Blue,C_14_4_Blue,14,control,Pre2,19/02/2024,8.2,5.9,,24,3190.14,283.116,4.83816,16,290.957,30,41.2078
C_14_4,Blue,C_14_4_Blue,14,control,Pre3,22/02/2024,8.2,5.9,,23,2423.85,241.074,7.34066,39,255.588,74,88.2548
C_14_4,Blue,C_14_4_Blue,14,control,Pre4,25/02/2024,8.2,5.9,,94,2974.31,278.278,5.17183,55,295.295,93,109.943
C_14_4,Blue,C_14_4_Blue,14,control,Post1,13/03/2024,8.2,5.9,,23,2524.58,252.752,8.84216,49,272.105,85,125.792
C_14_4,Blue,C_14_4_Blue,14,control,Post2,16/03/2024,8.2,5.9,,20,2612.83,253.086,5.50549,42,268.435,71,96.9301
C_14_4,Blue,C_14_4_Blue,14,control,Post3,19/03/2024,8.2,5.9,,22,3876.56,371.871,12.3457,38,391.724,68,85.9191
C_14_4,Blue,C_14_4_Blue,14,control,Post4,22/03/2024,8.2,5.9,DIED,16,3873.72,374.374,12.6793,60,398.231,118,132.632
C_14_4,Orange,C_14_4_Orange,14,control,Pre1,16/02/2024,8,5.2,,16,5655.77,489.822,14.8482,37,511.344,73,104.104
C_14_4,Orange,C_14_4_Orange,14,control,Pre2,19/02/2024,8,5.2,,25,5099.03,424.423,15.5155,44,448.781,81,109.776
C_14_4,Orange,C_14_4_Orange,14,control,Pre3,22/02/2024,8,5.2,,24,5008.82,398.564,10.01,38,419.418,69,76.7432
C_14_4,Orange,C_14_4_Orange,14,control,Pre4,25/02/2024,8,5.2,,95,4611.37,398.397,12.5125,46,422.755,83,112.279
C_14_4,Orange,C_14_4_Orange,14,control,Post1,13/03/2024,8,5.2,,24,3526.73,283.449,8.67532,64,304.303,113,98.932
C_14_4,Orange,C_14_4_Orange,14,control,Post2,16/03/2024,8,5.2,,21,2489.02,159.826,24.024,18,187.353,34,71.7382
C_14_4,Orange,C_14_4_Orange,14,control,Post3,19/03/2024,8,5.2,,23,1202.19,130.297,7.67432,23,142.976,37,64.3975
C_14_4,Orange,C_14_4_Orange,14,control,Post4,22/03/2024,8,5.2,DIED,17,2925.29,260.093,82.0818,34,349.515,50,122.622
